category,month,count,rollavg_3month
Theft,2019-01-01,2780,NA
Theft,2019-02-01,2656,NA
Theft,2019-03-01,2720,2719
Theft,2019-04-01,2995,2790
Theft,2019-05-01,3157,2957
Theft,2019-06-01,3221,3124
Theft,2019-07-01,3434,3271
Theft,2019-08-01,3437,3364
Theft,2019-09-01,3509,3460
Theft,2019-10-01,3579,3508
Theft,2019-11-01,3259,3449
Theft,2019-12-01,3540,3459
Theft,2020-01-01,3490,3430
Theft,2020-02-01,3302,3444
Theft,2020-03-01,2816,3203
Theft,2020-04-01,2673,2930
Theft,2020-05-01,2840,2776
Theft,2020-06-01,2239,2584
Theft,2020-07-01,2370,2483
Theft,2020-08-01,2551,2387
Theft,2020-09-01,2743,2555
Theft,2020-10-01,3121,2805
Theft,2020-11-01,2638,2834
Theft,2020-12-01,2950,2903
Theft,2021-01-01,3187,2925
Theft,2021-02-01,2120,2752
Theft,2021-03-01,2736,2681
Theft,2021-04-01,2466,2441
Theft,2021-05-01,2762,2655
Theft,2021-06-01,2902,2710
Theft,2021-07-01,3167,2944
Theft,2021-08-01,3302,3124
Theft,2021-09-01,3501,3323
Theft,2021-10-01,3954,3586
Theft,2021-11-01,3455,3637
Theft,2021-12-01,3564,3658
Theft,2022-01-01,3164,3394
Theft,2022-02-01,2955,3228
Theft,2022-03-01,3548,3222
Theft,2022-04-01,3675,3393
Theft,2022-05-01,4076,3766
Theft,2022-06-01,4475,4075
Theft,2022-07-01,4605,4385
Theft,2022-08-01,4854,4645
Theft,2022-09-01,4565,4675
Theft,2022-10-01,4699,4706
Theft,2022-11-01,4168,4477
Theft,2022-12-01,4110,4326
Theft,2023-01-01,4020,4099
Theft,2023-02-01,3595,3908
Theft,2023-03-01,1108,2908
