category,description,month,count,rollavg_3month
Aggravated Assault,Aggravated Assault Firearm,2019-01-01,165,NA
Aggravated Assault,Aggravated Assault Firearm,2019-02-01,169,NA
Aggravated Assault,Aggravated Assault Firearm,2019-03-01,209,181
Aggravated Assault,Aggravated Assault Firearm,2019-04-01,206,195
Aggravated Assault,Aggravated Assault Firearm,2019-05-01,237,217
Aggravated Assault,Aggravated Assault Firearm,2019-06-01,249,231
Aggravated Assault,Aggravated Assault Firearm,2019-07-01,232,239
Aggravated Assault,Aggravated Assault Firearm,2019-08-01,237,239
Aggravated Assault,Aggravated Assault Firearm,2019-09-01,232,234
Aggravated Assault,Aggravated Assault Firearm,2019-10-01,236,235
Aggravated Assault,Aggravated Assault Firearm,2019-11-01,186,218
Aggravated Assault,Aggravated Assault Firearm,2019-12-01,258,227
Aggravated Assault,Aggravated Assault Firearm,2020-01-01,207,217
Aggravated Assault,Aggravated Assault Firearm,2020-02-01,176,214
Aggravated Assault,Aggravated Assault Firearm,2020-03-01,281,221
Aggravated Assault,Aggravated Assault Firearm,2020-04-01,224,227
Aggravated Assault,Aggravated Assault Firearm,2020-05-01,292,266
Aggravated Assault,Aggravated Assault Firearm,2020-06-01,315,277
Aggravated Assault,Aggravated Assault Firearm,2020-07-01,334,314
Aggravated Assault,Aggravated Assault Firearm,2020-08-01,473,374
Aggravated Assault,Aggravated Assault Firearm,2020-09-01,409,405
Aggravated Assault,Aggravated Assault Firearm,2020-10-01,422,435
Aggravated Assault,Aggravated Assault Firearm,2020-11-01,377,403
Aggravated Assault,Aggravated Assault Firearm,2020-12-01,332,377
Aggravated Assault,Aggravated Assault Firearm,2021-01-01,358,356
Aggravated Assault,Aggravated Assault Firearm,2021-02-01,240,310
Aggravated Assault,Aggravated Assault Firearm,2021-03-01,336,311
Aggravated Assault,Aggravated Assault Firearm,2021-04-01,300,292
Aggravated Assault,Aggravated Assault Firearm,2021-05-01,317,318
Aggravated Assault,Aggravated Assault Firearm,2021-06-01,319,312
Aggravated Assault,Aggravated Assault Firearm,2021-07-01,346,327
Aggravated Assault,Aggravated Assault Firearm,2021-08-01,327,331
Aggravated Assault,Aggravated Assault Firearm,2021-09-01,331,335
Aggravated Assault,Aggravated Assault Firearm,2021-10-01,318,325
Aggravated Assault,Aggravated Assault Firearm,2021-11-01,254,301
Aggravated Assault,Aggravated Assault Firearm,2021-12-01,307,293
Aggravated Assault,Aggravated Assault Firearm,2022-01-01,280,280
Aggravated Assault,Aggravated Assault Firearm,2022-02-01,243,277
Aggravated Assault,Aggravated Assault Firearm,2022-03-01,289,271
Aggravated Assault,Aggravated Assault Firearm,2022-04-01,325,286
Aggravated Assault,Aggravated Assault Firearm,2022-05-01,308,307
Aggravated Assault,Aggravated Assault Firearm,2022-06-01,328,320
Aggravated Assault,Aggravated Assault Firearm,2022-07-01,304,313
Aggravated Assault,Aggravated Assault Firearm,2022-08-01,313,315
Aggravated Assault,Aggravated Assault Firearm,2022-09-01,268,295
Aggravated Assault,Aggravated Assault Firearm,2022-10-01,277,286
Aggravated Assault,Aggravated Assault Firearm,2022-11-01,247,264
Aggravated Assault,Aggravated Assault Firearm,2022-12-01,221,248
Aggravated Assault,Aggravated Assault Firearm,2023-01-01,233,234
Aggravated Assault,Aggravated Assault Firearm,2023-02-01,231,228
Aggravated Assault,Aggravated Assault Firearm,2023-03-01,276,247
Aggravated Assault,Aggravated Assault Firearm,2023-04-01,283,263
Aggravated Assault,Aggravated Assault Firearm,2023-05-01,349,303
Aggravated Assault,Aggravated Assault Firearm,2023-06-01,299,310
Aggravated Assault,Aggravated Assault Firearm,2023-07-01,327,325
Aggravated Assault,Aggravated Assault Firearm,2023-08-01,322,316
Aggravated Assault,Aggravated Assault Firearm,2023-09-01,261,303
Aggravated Assault,Aggravated Assault Firearm,2023-10-01,70,218
Aggravated Assault,Aggravated Assault No Firearm,2019-01-01,410,NA
Aggravated Assault,Aggravated Assault No Firearm,2019-02-01,382,NA
Aggravated Assault,Aggravated Assault No Firearm,2019-03-01,388,393
Aggravated Assault,Aggravated Assault No Firearm,2019-04-01,445,405
Aggravated Assault,Aggravated Assault No Firearm,2019-05-01,575,469
Aggravated Assault,Aggravated Assault No Firearm,2019-06-01,546,522
Aggravated Assault,Aggravated Assault No Firearm,2019-07-01,513,545
Aggravated Assault,Aggravated Assault No Firearm,2019-08-01,458,506
Aggravated Assault,Aggravated Assault No Firearm,2019-09-01,463,478
Aggravated Assault,Aggravated Assault No Firearm,2019-10-01,537,486
Aggravated Assault,Aggravated Assault No Firearm,2019-11-01,428,476
Aggravated Assault,Aggravated Assault No Firearm,2019-12-01,472,479
Aggravated Assault,Aggravated Assault No Firearm,2020-01-01,409,436
Aggravated Assault,Aggravated Assault No Firearm,2020-02-01,481,454
Aggravated Assault,Aggravated Assault No Firearm,2020-03-01,425,438
Aggravated Assault,Aggravated Assault No Firearm,2020-04-01,313,406
Aggravated Assault,Aggravated Assault No Firearm,2020-05-01,474,404
Aggravated Assault,Aggravated Assault No Firearm,2020-06-01,513,433
Aggravated Assault,Aggravated Assault No Firearm,2020-07-01,535,507
Aggravated Assault,Aggravated Assault No Firearm,2020-08-01,509,519
Aggravated Assault,Aggravated Assault No Firearm,2020-09-01,506,517
Aggravated Assault,Aggravated Assault No Firearm,2020-10-01,561,525
Aggravated Assault,Aggravated Assault No Firearm,2020-11-01,413,493
Aggravated Assault,Aggravated Assault No Firearm,2020-12-01,343,439
Aggravated Assault,Aggravated Assault No Firearm,2021-01-01,364,373
Aggravated Assault,Aggravated Assault No Firearm,2021-02-01,309,339
Aggravated Assault,Aggravated Assault No Firearm,2021-03-01,411,361
Aggravated Assault,Aggravated Assault No Firearm,2021-04-01,434,385
Aggravated Assault,Aggravated Assault No Firearm,2021-05-01,474,440
Aggravated Assault,Aggravated Assault No Firearm,2021-06-01,482,463
Aggravated Assault,Aggravated Assault No Firearm,2021-07-01,466,474
Aggravated Assault,Aggravated Assault No Firearm,2021-08-01,492,480
Aggravated Assault,Aggravated Assault No Firearm,2021-09-01,486,481
Aggravated Assault,Aggravated Assault No Firearm,2021-10-01,446,475
Aggravated Assault,Aggravated Assault No Firearm,2021-11-01,399,444
Aggravated Assault,Aggravated Assault No Firearm,2021-12-01,348,398
Aggravated Assault,Aggravated Assault No Firearm,2022-01-01,351,366
Aggravated Assault,Aggravated Assault No Firearm,2022-02-01,348,349
Aggravated Assault,Aggravated Assault No Firearm,2022-03-01,419,373
