category,month,count,rollavg_3month
Murder,2019-01-01,26,NA
Murder,2019-02-01,21,NA
Murder,2019-03-01,32,26
Murder,2019-04-01,24,26
Murder,2019-05-01,29,28
Murder,2019-06-01,31,28
Murder,2019-07-01,25,28
Murder,2019-08-01,41,32
Murder,2019-09-01,26,31
Murder,2019-10-01,35,34
Murder,2019-11-01,35,32
Murder,2019-12-01,30,33
Murder,2020-01-01,39,35
Murder,2020-02-01,22,30
Murder,2020-03-01,36,32
Murder,2020-04-01,29,29
Murder,2020-05-01,33,33
Murder,2020-06-01,44,35
Murder,2020-07-01,48,42
Murder,2020-08-01,52,48
Murder,2020-09-01,46,49
Murder,2020-10-01,66,55
Murder,2020-11-01,40,51
Murder,2020-12-01,45,50
Murder,2021-01-01,50,45
Murder,2021-02-01,27,41
Murder,2021-03-01,43,40
Murder,2021-04-01,51,40
Murder,2021-05-01,44,46
Murder,2021-06-01,56,50
Murder,2021-07-01,48,49
Murder,2021-08-01,38,47
Murder,2021-09-01,55,47
Murder,2021-10-01,46,46
Murder,2021-11-01,52,51
Murder,2021-12-01,52,50
Murder,2022-01-01,40,48
Murder,2022-02-01,35,42
Murder,2022-03-01,35,37
Murder,2022-04-01,31,34
Murder,2022-05-01,50,39
Murder,2022-06-01,42,41
Murder,2022-07-01,56,49
Murder,2022-08-01,46,48
Murder,2022-09-01,38,47
Murder,2022-10-01,38,41
Murder,2022-11-01,26,34
Murder,2022-12-01,43,36
Murder,2023-01-01,27,32
Murder,2023-02-01,34,35
Murder,2023-03-01,34,32
Murder,2023-04-01,27,32
Murder,2023-05-01,37,33
Murder,2023-06-01,27,30
Murder,2023-07-01,27,30
Murder,2023-08-01,34,29
Murder,2023-09-01,33,31
Murder,2023-10-01,10,26
