type,total19,total20,total21,total22,total23,2024,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
Other,99930,75854,69806,69579,76149,13527,75614,215239,71746.3,-30.4,-24.3,8.7,5,6339.7,4812.3,4428.6,4414.2,4797.1,4551.7
Property,46220,43189,50189,66386,78200,12011,76357,159764,53254.7,43.6,65.2,15,43,2932.3,2740,3184.1,4211.6,4844.2,3378.6
Violent,15289,15360,15119,15232,14668,2383,14424,45711,15237,-0.4,-5.7,-5.3,-5,970,974.5,959.2,966.3,915.1,966.7
