district,population,placename,type,total19,total20,total21,total22,total23,total24,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
25,68000,Kensington and Harrowgate,Other,6214,4940,4404,4775,6278,5747,6380,14119,4706.3,-23.2,2.7,33.6,36,9138.2,7264.7,6476.5,7022.1,9382.4,6921
25,68000,Kensington and Harrowgate,Property,1904,2113,2149,2492,2650,2399,2667,6754,2251.3,30.9,40.1,7,18,2800,3107.4,3160.3,3664.7,3922.1,3310.7
25,68000,Kensington and Harrowgate,Violent,1405,1447,1415,1386,1311,1085,1226,4248,1416,-1.4,-12.7,-11.5,-13,2066.2,2127.9,2080.9,2038.2,1802.9,2082.4
26,57000,"Fishtown, Olde Kensington, East Kensington and West Kensington",Other,2759,2460,2328,2412,2490,2494,2717,7200,2400,-12.6,-1.5,12.6,13,4840.4,4315.8,4084.2,4231.6,4766.7,4210.5
26,57000,"Fishtown, Olde Kensington, East Kensington and West Kensington",Property,2384,2398,2880,3824,5030,3223,3637,9102,3034,60.4,52.6,-4.9,20,4182.5,4207,5052.6,6708.8,6380.7,5322.8
26,57000,"Fishtown, Olde Kensington, East Kensington and West Kensington",Violent,566,524,602,658,591,484,537,1784,594.7,16.3,-5.1,-18.4,-10,993,919.3,1056.1,1154.4,942.1,1043.3
15,139000,"Bridesburg, Frankford, Northwood and Wissimoming",Other,6592,5361,5218,4899,5249,5256,5812,15478,5159.3,-25.7,-11.8,18.6,13,4742.4,3856.8,3754,3524.5,4181.3,3711.7
15,139000,"Bridesburg, Frankford, Northwood and Wissimoming",Property,3125,2918,3690,5257,6863,5325,5946,11865,3955,68.2,90.3,13.1,50,2248.2,2099.3,2654.7,3782,4277.7,2845.3
15,139000,"Bridesburg, Frankford, Northwood and Wissimoming",Violent,1283,1169,1125,1188,1127,1032,1133,3482,1160.7,-7.4,-11.7,-4.6,-2,923,841,809.4,854.7,815.1,835
77,0,Philadelphia airport,Other,276,268,268,245,337,432,469,781,260.3,-11.2,69.9,91.4,80,NA,NA,NA,NA,NA,NA
77,0,Philadelphia airport,Property,387,221,360,518,802,604,666,1099,366.3,33.9,72.1,28.6,82,NA,NA,NA,NA,NA,NA
77,0,Philadelphia airport,Violent,9,10,6,7,15,11,11,23,7.7,-22.2,22.2,57.1,43,NA,NA,NA,NA,NA,NA
05,43000,"Andorra, Roxborough and Manayunk",Other,1238,921,920,975,1070,806,926,2816,938.7,-21.2,-25.2,-5,-1,2879.1,2141.9,2139.5,2267.4,2153.5,2183
05,43000,"Andorra, Roxborough and Manayunk",Property,912,789,1093,1364,1602,1293,1473,3246,1082,49.6,61.5,8,36,2120.9,1834.9,2541.9,3172.1,3425.6,2516.3
05,43000,"Andorra, Roxborough and Manayunk",Violent,113,103,94,137,100,72,80,334,111.3,21.2,-29.2,-41.6,-28,262.8,239.5,218.6,318.6,186,258.8
06,46000,"Center City East, Chinatown, Poplar and Society Hill",Other,4158,2463,2257,2791,2673,766,1013,7511,2503.7,-32.9,-75.6,-63.7,-60,9039.1,5354.3,4906.5,6067.4,2202.2,5442.8
06,46000,"Center City East, Chinatown, Poplar and Society Hill",Property,3771,3006,3317,4233,4112,1280,1697,10556,3518.7,12.3,-55,-59.9,-52,8197.8,6534.8,7210.9,9202.2,3689.1,7649.3
06,46000,"Center City East, Chinatown, Poplar and Society Hill",Violent,580,465,570,622,553,147,194,1657,552.3,7.2,-66.6,-68.8,-65,1260.9,1010.9,1239.1,1352.2,421.7,1200.7
07,95000,Somerton and Bustleton,Other,1468,1260,1383,1364,1511,1310,1455,4007,1335.7,-7.1,-0.9,6.7,9,1545.3,1326.3,1455.8,1435.8,1531.6,1406
07,95000,Somerton and Bustleton,Property,889,1046,1260,2036,2386,2315,2571,4342,1447.3,129,189.2,26.3,78,935.8,1101.1,1326.3,2143.2,2706.3,1523.5
